room_nr, start_time, para
101, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{4, 4, 5, 5, 3, 5}"
102, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
103, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
104, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{4, 4, 5, 5, 3, 5}"
105, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
201, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
202, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{4, 4, 5, 5, 3, 5}"
203, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
204, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
205, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{4, 4, 5, 5, 3, 5}"
301, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
302, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
303, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{4, 4, 5, 5, 3, 5}"
304, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
305, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
401, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
402, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
403, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{4, 4, 5, 5, 3, 5}"
404, "{'12:00', '12:00', '8:30', '10:15', '10:15', '8:30'}", "{2, 3, 5, 5, 4, 6}"
405, "{'8:30', '12:00', '8:30', '12:00', '8:30', '10:15'}", "{6, 1, 2, 1, 3, 4}"
