Programming in C
Data structures
Logic and Theory Algorithms
Computer Design
Computer architecture
Processor design
Operating systems
Computer networks
Parallel processing
Computer graphics
Computer simulations and games programming
Theory of computation
Design and analysis of algorithms
Numerical analysis
Machine learning
Information theory
Programming language theory
Software engineering
Database systems
Computer Vision
Probability Theory
Advanced Mathematics
Discrete mathematics
Decision Theory
Mathematical statistics
Calculus
Algebra
Analysis
Mechanics
Probability
Statistics
Geometry
Vectors
Computational maths
Mathematical finance
Mathematical physics
Mathematical biology
Actuarial maths
History of maths
Special relativity
Quantum theory
Physics
Mechatronics System
Electric drive of machines
Analysis of machine structures
Basics of machine tools development
Fluid mechanics
Soil mechanics
Minerals and statics
Structural mechanics
